Item #,RZ1(AUD)
:1140659,14.9
:1140660,22
:1140654,47
:1140674,40.5
:1140675,54
:1141284,219
:1141304,49
:1141309,19.99
:1141311,22
:1141315,25.5
:1141612,4.99
:1141622,8.47
:1141689,105
:1141775,19.87
:1142165,85
:1142164,99
:1142260,68
:1142262,45
:1142263,69
:2036330,299
:2036331,299
:2036332,299
:3041159,210.94
:3041160,210.94
:3041161,210.94
:3041162,210.94
:3041170,217.3
:3041171,217.3
:3041172,54.05
:3041173,63.59
:1142459,70.5
:3042228,215.18
:3042230,243.8
:3042232,263.94
:3042234,305.28
:9931027,1999
:1142575,119
:1142577,149
:1142580,149
:1142595,253.34
:1142597,263.94
:3042380,26.49
:3042381,23.53
:1142608,22.5
:3042426,281.96
:3042427,318
:3042428,337.08
:1142629,20.5
:1142630,22.5
:0036540,210.94
:0036541,210.94
:0314175,210.94
:0036543,210.94
:0046012,67.78
:0046013,97.7
:0046014,74
:8907105,45
:0066259,74.2
:0089712,530
:0089671,450
:0096818,14.1
:0125967,84.24
:0172273,19.5
:0406707,100
:0406708,100
:0406709,100
:0406710,100
:0406711,100
:0406712,100
:0406713,100
:0406714,100
:0406715,100
:0406716,100
:0435092,39.9
:0438355,36.9
:0436101,42
:0441005,54
:0441007,47
:0441008,49
:0441009,69
:0441010,49.9
:0442708,47
:0442709,69
:0442710,49
:0442711,34.5
:0442712,74.19
:0442713,69
:0442714,49
:0442715,54
:0441378,109
:0441063,139
:0441079,11.97
:0441081,21.5
:0441083,79
:0441084,79
:0441087,79
:0441088,199
:0441089,11.97
:0441090,329
:0441091,21.5
:0441092,249
:0441094,79
:0441095,79
:0441097,79
:0441099,189
:0441101,159
:0441102,22.5
:0446821,139
:0446822,116.6
:0446823,116.6
:0446824,157.94
:0446825,116.6
:0446826,422.94
:0446827,22
:0446828,66.78
:0446830,295.74
:0446831,159
:0446832,189
:0446833,299
:0446834,157.94
:0446835,528.94
:0446836,66.78
:0446837,66.78
:0446838,159
:0446840,157.94
:0441082,229
:0441085,219
:0441093,219
:0441105,299
:0446829,159
:0446839,179.14
:0015408,105
:0015407,104.45
:0015409,105
:0015406,110.24
:0015398,123
:0015403,103
:0015404,97
:0015405,95
:0015399,115
:0015402,107
:0015400,113
:0025607,147
:0038898,169
:0038899,199
:0038897,111.3
:0038902,179
:0038926,87.97
:0038927,29.67
:0038931,14.3
:0038932,55.12
:0038933,16.95
:0038930,26.49
:0038929,26.49
:0038906,42.39
:0038907,47.69
:0038910,42.39
:0038911,38.15
:0038937,12.71
:0038935,16.95
:0038936,16.95
:0043772,123
:0043773,142
:0043779,128.26
:0043778,182.32
:0043780,121.37
:0043777,115
:0043774,105
:0043776,122
:0111638,103
:0111639,111.3
:0126484,99
:0132064,188.15
:0132062,188.15
:0389530,175.3
:0389531,283.18
:0389532,217.01
:0389533,120.35
:0389534,56.25
:0389535,287.22
:0389536,203.04
:0389537,161.5
:0389538,8.59
:0389539,126.65
:0389540,144.64
:0389542,299.98
:0389543,175.08
:0389544,161.5
:0389545,159.96
:0389546,266.37
:0389547,190.63
:0389548,302.56
:0389550,210.03
:0389551,138.04
:0389552,271.89
:0389553,316.78
:0389554,189.06
:0389555,161.1
:0389557,144.82
:0389558,116.13
:0389559,10.53
:0389560,130.84
:0389561,129.3
:0389562,601.02
:0389563,176.83
:0389564,290.29
:0389565,231
:0389566,205.96
:0389567,601.02
:0389568,207.5
:0389570,236.62
:0389571,244.98
:0389572,70.23
:0389573,601.02
:0389575,238.16
:0389576,161.5
:0389577,237.99
:0389578,244.29
:0389579,221.3
:0389580,222.82
:0389581,84.21
:0389582,601.02
:0389583,77.22
:0389584,44.98
:0389585,224.01
:0389586,176.83
:0389587,118.57
:0389588,63.24
:0389589,228.96
:0389590,249.57
:0389591,192.17
:0389592,256.56
:0389593,98.63
:0389594,258.96
:0389595,147.12
:0389596,299.49
:0389597,259.63
:0389598,225.9
:0389599,105.08
:0389600,75.64
:0389601,113.97
:0389602,119.15
:0389603,195.23
:0389604,265.94
:0389605,314.82
:0389606,268.83
:0389607,282.63
:0389608,210.56
:0389609,91.2
:0389610,241.22
:0389611,267.29
:0389612,251.97
:0389613,133.14
:0389614,83.31
:0389615,60.3
:0389616,118.23
:0389617,284.15
:0389618,251.96
:0389619,274.95
:0389620,105.18
:0389621,149.24
:0389622,253.49
:0441012,126.14
:0441013,126.14
:0441017,168.54
:0441018,121.9
:0481907,74.19
:0481908,63.59
:0481909,84.79
:0481910,95.39
:0481911,63.59
:0481912,74.19
:0481914,84.79
:0481915,47.69
:0481916,74.19
:0481917,42.39
:0481918,95.39
:0481919,47.69
:0481920,52.99
:0481921,84.79
:0481922,63.59
:0481923,52.99
:0481925,74.19
:0481926,95.39
:0481927,63.59
:0481928,74.19
:0481929,84.79
:0481930,95.39
:0481931,47.69
:0481932,52.99
:0481933,74.19
:0481934,63.59
:0481935,42.39
:0481936,52.99
:0481938,95.39
:0481939,74.19
:0481940,42.39
:0481941,47.69
:0481942,42.39
:0481943,47.69
:0481944,52.99
:0481945,84.79
:0481946,84.79
:0481947,52.99
:0481948,74.19
:0481949,47.69
:0481950,74.19
:0481951,74.19
:0481952,74.19
:0481953,84.79
:0481954,63.59
:0481955,52.99
:0481956,42.39
:0481957,47.69
:0481958,42.39
:0481960,74.19
:0481961,42.39
:0481962,52.99
:0481963,47.69
:0481964,84.79
:0481965,84.79
:0481966,74.19
:0481967,74.19
:0481968,42.39
:0481969,52.99
:0481970,52.99
:0481971,95.39
:0481972,74.19
:0481973,52.99
:0481974,42.39
:0481975,52.99
:0481976,47.69
:0481977,95.39
:0481978,95.39
:0481979,95.39
:0481980,95.39
:0482143,200.34
:0482144,200.34
:0482145,200.34
:0483581,528.94
:0483582,475.94
:0483583,475.94
:0483584,475.94
:0483585,528.94
:0483586,475.94
:0483587,412.34
:0483588,221.54
:0483589,475.94
:0483590,475.94
:0483591,221.54
:0483593,475.94
:0483594,475.94
:0483595,412.34
:0483596,528.94
:0483597,475.94
:0483598,221.54
:0483599,475.94
:0483600,475.94
:0483601,475.94
:0483602,412.34
:0483603,528.94
:0483604,475.94
:0483605,221.54
:0483606,412.34
:0483607,475.94
:0483608,475.94
:0483609,412.34
:0483610,221.54
:0483611,475.94
:0483612,528.94
:0483613,475.94
:0483614,412.34
:0483615,221.54
:0483616,412.34
:0483617,221.54
:0483618,412.34
:0483619,475.94
:0483620,412.34
:0483621,475.94
:0483622,475.94
:0483623,475.94
:0483624,475.94
:0483625,528.94
:0483626,475.94
:0483627,221.54
:0483630,221.54
:0483631,412.34
:0483632,475.94
:0483633,528.94
:0483634,475.94
:0483635,475.94
:0483636,412.34
:0483637,528.94
:0483638,475.94
:0483639,475.94
:0483640,475.94
:0483641,221.54
:0483642,475.94
:0483644,391.14
:0483646,497.14
:0483647,316.94
:0483648,528.94
:0483649,316.94
:0483650,603.14
:0483651,497.14
:0483652,391.14
:0483654,316.94
:0483656,528.94
:0483657,391.14
:0483659,497.14
:0483660,603.14
:0483661,528.94
:0483662,316.94
:0483664,465.34
:0483665,391.14
:0483666,528.94
:0483667,316.94
:0483668,603.14
:0483669,391.14
:0483670,497.14
:0483671,528.94
:0483672,581.94
:0483673,316.94
:0483674,316.94
:0483675,603.14
:0483676,528.94
:0483677,497.14
:0483678,497.14
:0483680,603.14
:0483682,391.14
:0483683,528.94
:0483684,528.94
:0483685,316.94
:0483687,391.14
:0483688,603.14
:0483689,316.94
:0483690,603.14
:0483691,497.14
:0483692,391.14
:0483693,528.94
:0483694,497.14
:0483697,603.14
:0483698,528.94
:0483699,391.14
:0483701,391.14
:0483702,528.94
:0483703,412.34
:0483704,338.14
:0483705,316.94
:0483706,391.14
:0483707,348.74
:0483708,348.74
:0483709,497.14
:0483710,528.94
:0483711,539.54
:0483712,603.14
:0483713,539.54
:0483714,528.94
:0483715,475.94
:0483716,338.14
:0483717,539.54
:0483718,412.34
:0483719,475.94
:0483721,348.74
:0483722,475.94
:0483723,412.34
:0483724,475.94
:0483725,338.14
:0483726,539.54
:0483727,338.14
:0483728,348.74
:0483729,528.94
:0483730,539.54
:0483732,475.94
:0483733,348.74
:0483734,528.94
:0483735,412.34
:0483736,348.74
:0483737,316.94
:0483738,338.14
:0483739,539.54
:0483740,603.14
:0483741,475.94
:0483742,412.34
:0483743,497.14
:0483744,539.54
:0483745,528.94
:0483747,348.74
:0483748,338.14
:0483749,528.94
:0483750,412.34
:0483751,348.74
:0483752,338.14
:0483753,528.94
:0483754,539.54
:0483755,338.14
:0483756,528.94
:0483757,475.94
:0483758,475.94
:0483759,475.94
:0483760,412.34
:0483761,539.54
:0483762,338.14
:0483763,528.94
:0483764,348.74
:0483765,412.34
:0483766,422.94
:0483767,465.34
:0483768,401.74
:0483769,528.94
:0483770,475.94
:0483771,401.74
:0483772,560.74
:0483773,539.54
:0483774,560.74
:0483776,401.74
:0483777,348.74
:0483778,465.34
:0483779,422.94
:0483780,401.74
:0483782,338.14
:0483783,560.74
:0483784,465.34
:0483785,412.34
:0483786,422.94
:0483787,560.74
:0483789,528.94
:0483790,401.74
:0483791,422.94
:0483792,560.74
:0483793,401.74
:0483794,401.74
:0483795,401.74
:0483796,560.74
:0483797,465.34
:0483798,560.74
:0483799,401.74
:0483800,560.74
:0483801,560.74
:0483802,560.74
:0483803,422.94
:0483804,422.94
:0483805,401.74
:0483806,401.74
:0483807,401.74
:0483808,465.34
:0483809,560.74
:0483810,560.74
:0483811,401.74
:0483812,401.74
:0483813,422.94
:0483814,465.34
:0483815,560.74
:0483816,401.74
:0483817,560.74
:0483818,465.34
:0483819,401.74
